,,,light_bias,bandgap_eqe,integrated_jsc,integrated_j0rad,voc_rad,urbach_energy,urbach_energy_fit_std_dev,plot,name
hzb_TestP_AA_2_c-5,0,0,,1.6165713671180875,15.57206962411911,,,,,True,  0
hzb_TestP_AA_2_c-5,0,1,,1.6138945215606137,13.738147282349523,,,,,True,  1
hzb_TestP_AA_2_c-5,0,2,,1.6165713671180875,11.624191261995232,5.59534793688784e-22,1.328482889471384,0.01482479765271057,0.0004203305287698993,True,  2
hzb_TestP_AA_2_c-5,0,3,,1.6165713671180875,14.363581784369925,1.7013092965591613e-21,1.3052047174066517,0.025718475101073328,0.0024916347717311824,True,  3
hzb_TestP_AA_2_c-5,0,4,,1.6058639848881922,15.055675579708037,2.1409909588420685e-21,1.3004786735372083,0.022163674027701624,0.0019687932969743717,True,  4
hzb_TestP_AA_2_c-5,0,5,,1.6031871393307182,6.596799898642859,,,0.02860372410173359,0.002968959894822316,True,  5
hzb_TestP_AA_2_c-5,0,6,,1.6031871393307182,13.800421121511281,4.6575037492900925e-21,1.2781356545775613,0.02553906560521386,0.0025204800555051086,True,  6
hzb_TestP_AA_2_c-5,0,7,,1.6058639848881922,18.14136437262081,1.734085186975624e-21,1.31074781964478,0.013868137444326302,0.00012417529528796362,True,  7
hzb_TestP_AA_2_c-5,0,8,,1.5924797571008227,9.207717940387742,,,,,True,  8
hzb_TestP_AA_2_c-5,0,9,,1.6005102937732443,16.579290330623078,,,,,True,  9
hzb_TestP_AA_2_c-5,0,10,,1.6031871393307182,15.631721697767885,,,,,True,  10
hzb_TestP_AA_1_c-8,0,0,,1.5541104110325705,22.17247377123445,,,,,True, a 0
hzb_TestP_AA_1_c-8,1,0,,1.5568681387069403,20.25235321149752,1.1504087866531489e-20,1.2646757902530918,0.013804484778107726,0.0006417414498406835,True, e 0
hzb_TestP_AA_1_c-6,0,0,,1.5541104110325705,21.591787610895807,,,,,True, e 0
hzb_TestP_AA_1_c-6,1,0,,1.5513526833582008,22.04151386745096,,,,,True, a 0
hzb_TestP_AA_1_c-7,0,0,,1.5541104110325705,21.90213113935091,,,,,True, a 0
