,index,sample,batch,condition,variable,cell,direction,ilum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
0,Voltage (V)_a_Reverse_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-1.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Voltage (V),a,Reverse,Light,1.3,1.28,1.26,1.24,1.22,1.2,1.18,1.16,1.14,1.12,1.1,1.08,1.06,1.04,1.02,1.0,0.98,0.96,0.94,0.92,0.9,0.88,0.86,0.84,0.82,0.8,0.78,0.76,0.74,0.72,0.7,0.68,0.66,0.64,0.62,0.6,0.58,0.56,0.54,0.52,0.5,0.48,0.46,0.44,0.42,0.4,0.38,0.36,0.34,0.32,0.3,0.28,0.26,0.24,0.22,0.2,0.18,0.16,0.14,0.12,0.1,0.08,0.06,0.04,0.02,0.0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12,-0.14,-0.16,-0.18,-0.2
1,Current Density(mA/cm2)_a_Reverse_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-1.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Current Density(mA/cm2),a,Reverse,Light,30.00297,30.00296,30.00294,30.00296,30.00293,30.00294,30.00296,26.63901,20.11407,13.87797,8.008112,2.550486,-2.494121,-6.993431,-10.95856,-14.24623,-16.82581,-18.71219,-19.97713,-20.77855,-21.26142,-21.54647,-21.70126,-21.81521,-21.89518,-21.95742,-22.00858,-22.03816,-22.07018,-22.11254,-22.13996,-22.15686,-22.1887,-22.203,-22.22203,-22.23583,-22.25424,-22.26639,-22.27596,-22.28961,-22.30494,-22.32277,-22.32859,-22.33763,-22.34033,-22.35442,-22.36626,-22.37374,-22.38222,-22.37312,-22.39123,-22.40324,-22.41341,-22.41631,-22.42714,-22.42755,-22.43427,-22.44483,-22.45177,-22.45575,-22.46026,-22.47697,-22.48251,-22.48562,-22.49767,-22.50435,-22.51674,-22.51547,-22.52292,-22.52925,-22.54649,-22.53991,-22.54953,-22.56564,-22.56709,-22.57496
2,Voltage (V)_a_Forward_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-1.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Voltage (V),a,Forward,Light,1.3,1.28,1.26,1.24,1.22,1.2,1.18,1.16,1.14,1.12,1.1,1.08,1.06,1.04,1.02,1.0,0.98,0.96,0.94,0.92,0.9,0.88,0.86,0.84,0.82,0.8,0.78,0.76,0.74,0.72,0.7,0.68,0.66,0.64,0.62,0.6,0.58,0.56,0.54,0.52,0.5,0.48,0.46,0.44,0.42,0.4,0.38,0.36,0.34,0.32,0.3,0.28,0.26,0.24,0.22,0.2,0.18,0.16,0.14,0.12,0.1,0.08,0.06,0.04,0.02,0.0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12,-0.14,-0.16,-0.18,-0.2
3,Current Density(mA/cm2)_a_Forward_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-1.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Current Density(mA/cm2),a,Forward,Light,30.00296,30.00296,30.00298,30.00294,30.00295,30.00298,30.00297,26.29253,19.87857,13.75804,7.986237,2.654622,-2.287408,-6.6016,-10.41054,-13.58804,-16.09672,-17.97402,-19.28123,-20.14897,-20.69971,-21.07803,-21.33751,-21.51921,-21.65,-21.76325,-21.84392,-21.91002,-21.9638,-22.01781,-22.05164,-22.07644,-22.10031,-22.12877,-22.15798,-22.17191,-22.17888,-22.18822,-22.21412,-22.22547,-22.23611,-22.24993,-22.26597,-22.27192,-22.28667,-22.30202,-22.30472,-22.31714,-22.33089,-22.33828,-22.34819,-22.35528,-22.36467,-22.38361,-22.39257,-22.40214,-22.39605,-22.41426,-22.41543,-22.43879,-22.44384,-22.44457,-22.45355,-22.47228,-22.47783,-22.48559,-22.49421,-22.50847,-22.51079,-22.52211,-22.52562,-22.53298,-22.55451,-22.56103,-22.56165,-22.57112
4,Voltage (V)_b_Reverse_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-1.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Voltage (V),b,Reverse,Light,1.3,1.28,1.26,1.24,1.22,1.2,1.18,1.16,1.14,1.12,1.1,1.08,1.06,1.04,1.02,1.0,0.98,0.96,0.94,0.92,0.9,0.88,0.86,0.84,0.82,0.8,0.78,0.76,0.74,0.72,0.7,0.68,0.66,0.64,0.62,0.6,0.58,0.56,0.54,0.52,0.5,0.48,0.46,0.44,0.42,0.4,0.38,0.36,0.34,0.32,0.3,0.28,0.26,0.24,0.22,0.2,0.18,0.16,0.14,0.12,0.1,0.08,0.06,0.04,0.02,0.0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12,-0.14,-0.16,-0.18,-0.2
5,Current Density(mA/cm2)_b_Reverse_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-1.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Current Density(mA/cm2),b,Reverse,Light,30.00298,30.003,30.00294,30.00295,30.00296,30.00299,30.00298,26.73679,20.14872,13.84906,7.91725,2.420587,-2.685677,-7.222531,-11.22264,-14.54299,-17.1394,-19.046,-20.32334,-21.12229,-21.62398,-21.91226,-22.07842,-22.21068,-22.27206,-22.33492,-22.38629,-22.41836,-22.44116,-22.48969,-22.51031,-22.52743,-22.54924,-22.56638,-22.57354,-22.58446,-22.58862,-22.60366,-22.6083,-22.62074,-22.62143,-22.62986,-22.63606,-22.63825,-22.64594,-22.65806,-22.66265,-22.66968,-22.67179,-22.6793,-22.67722,-22.68629,-22.68956,-22.70065,-22.69282,-22.69788,-22.70366,-22.7152,-22.72076,-22.72954,-22.72283,-22.72562,-22.72768,-22.73787,-22.74269,-22.7515,-22.75081,-22.75631,-22.75717,-22.75599,-22.76486,-22.77464,-22.77547,-22.7769,-22.77985,-22.78509
6,Voltage (V)_b_Forward_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-1.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Voltage (V),b,Forward,Light,1.3,1.28,1.26,1.24,1.22,1.2,1.18,1.16,1.14,1.12,1.1,1.08,1.06,1.04,1.02,1.0,0.98,0.96,0.94,0.92,0.9,0.88,0.86,0.84,0.82,0.8,0.78,0.76,0.74,0.72,0.7,0.68,0.66,0.64,0.62,0.6,0.58,0.56,0.54,0.52,0.5,0.48,0.46,0.44,0.42,0.4,0.38,0.36,0.34,0.32,0.3,0.28,0.26,0.24,0.22,0.2,0.18,0.16,0.14,0.12,0.1,0.08,0.06,0.04,0.02,0.0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12,-0.14,-0.16,-0.18,-0.2
7,Current Density(mA/cm2)_b_Forward_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-1.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Current Density(mA/cm2),b,Forward,Light,30.00296,30.00301,30.00298,30.00297,30.00292,30.00293,30.00294,25.86274,19.49411,13.42614,7.7182,2.444939,-2.44079,-6.688212,-10.46654,-13.63511,-16.17211,-18.04291,-19.36736,-20.28866,-20.90696,-21.32597,-21.61364,-21.82174,-21.96612,-22.10379,-22.19967,-22.27663,-22.33564,-22.37659,-22.41761,-22.45507,-22.48974,-22.51128,-22.51854,-22.53186,-22.55404,-22.57183,-22.58023,-22.58365,-22.59509,-22.61127,-22.61787,-22.60797,-22.62821,-22.63348,-22.63079,-22.63755,-22.65468,-22.66908,-22.66016,-22.66107,-22.68486,-22.68792,-22.68258,-22.68372,-22.6903,-22.70529,-22.70085,-22.70836,-22.70821,-22.71557,-22.72431,-22.72009,-22.73304,-22.73699,-22.74135,-22.74497,-22.74738,-22.75342,-22.76003,-22.76707,-22.76581,-22.77446,-22.78486,-22.78595
8,Voltage (V)_c_Reverse_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-1.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Voltage (V),c,Reverse,Light,1.3,1.28,1.26,1.24,1.22,1.2,1.18,1.16,1.14,1.12,1.1,1.08,1.06,1.04,1.02,1.0,0.98,0.96,0.94,0.92,0.9,0.88,0.86,0.84,0.82,0.8,0.78,0.76,0.74,0.72,0.7,0.68,0.66,0.64,0.62,0.6,0.58,0.56,0.54,0.52,0.5,0.48,0.46,0.44,0.42,0.4,0.38,0.36,0.34,0.32,0.3,0.28,0.26,0.24,0.22,0.2,0.18,0.16,0.14,0.12,0.1,0.08,0.06,0.04,0.02,0.0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12,-0.14,-0.16,-0.18,-0.2
9,Current Density(mA/cm2)_c_Reverse_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-1.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Current Density(mA/cm2),c,Reverse,Light,30.00297,30.003,30.00303,30.00298,30.00297,30.00299,27.0432,21.43268,16.03267,10.87701,6.063425,1.516971,-2.665049,-6.446119,-9.759119,-12.64793,-15.05396,-16.96054,-18.42132,-19.51301,-20.27711,-20.78302,-21.12799,-21.35056,-21.51148,-21.63209,-21.70214,-21.76259,-21.81349,-21.84546,-21.88952,-21.91288,-21.93244,-21.95886,-21.97468,-21.99593,-22.01964,-22.03732,-22.04831,-22.06002,-22.07303,-22.09449,-22.11345,-22.11608,-22.11773,-22.14807,-22.15214,-22.16527,-22.18009,-22.19581,-22.20951,-22.22146,-22.22862,-22.24239,-22.25219,-22.26843,-22.27853,-22.28973,-22.30331,-22.31927,-22.32048,-22.34853,-22.34863,-22.36054,-22.37904,-22.39546,-22.4079,-22.42261,-22.43424,-22.45087,-22.46041,-22.48001,-22.48952,-22.50789,-22.52732,-22.54227
