,Voc(V),Jsc(mA/cm2),FF(%),PCE(%),V_mpp(V),J_mpp(mA/cm2),P_mpp(mW/cm2),R_series(Ohmcm2),R_shunt(Ohmcm2),sample,batch,condition,cell,direction,ilum
0,1.069888,-22.50435,79.474875,19.135277,0.9,-21.261419,-19.1352771,0.003965,2.933179,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-1.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,a,Reverse,Light
1,1.069257,-22.485594,77.485466,18.629736,0.9,-20.699706,-18.6297354,0.004047,2.102888,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-1.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,a,Forward,Light
2,1.070519,-22.7515,79.904951,19.461583,0.9,-21.623981,-19.4615829,0.003917,4.706574,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-1.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,b,Reverse,Light
3,1.069992,-22.736994,77.34281,18.816261,0.9,-20.906956,-18.8162604,0.004094,4.306284,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-1.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,b,Forward,Light
4,1.072745,-22.395456,76.126333,18.289062,0.88,-20.783025,-18.289061999999998,0.004782,1.4649,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-1.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,c,Reverse,Light
5,1.068933,-22.443887,68.067513,16.330085,0.82,-19.914737,-16.33008434,0.005802,1.756119,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-1.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,c,Forward,Light
6,1.065798,-22.3182,79.476495,18.904826,0.9,-21.005363,-18.9048267,0.003943,4.673466,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-1.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,e,Reverse,Light
7,1.06488,-22.315013,76.402621,18.155407,0.88,-20.631144,-18.15540672,0.00409,5.532503,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-1.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,e,Forward,Light
8,0.012561,-5.659393,0.0,0.0,0.0,-5.659393,-0.0,0.002219,0.002478,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-2.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,a,Reverse,Light
9,0.012601,-5.722339,0.0,0.0,0.0,-5.722339,-0.0,0.002202,0.002477,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-2.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,a,Forward,Light
10,1.068242,-21.878106,80.87639,18.901704,0.9,-21.001894,-18.901704600000002,0.003821,-30.418251,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-2.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,b,Reverse,Light
11,1.067088,-21.872412,78.495838,18.320766,0.9,-20.356406,-18.3207654,0.004077,8.237515,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-2.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,b,Forward,Light
12,1.061445,-21.466406,80.064299,18.242972,0.9,-20.269969,-18.2429721,0.003885,8.976577,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-2.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,c,Reverse,Light
13,1.060994,-21.467756,76.984213,17.534814,0.88,-19.925925,-17.534814,0.004108,14.254956,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-2.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,c,Forward,Light
14,1.066415,-21.805125,79.864849,18.571219,0.9,-20.634687,-18.5712183,0.003998,3.080823,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-2.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,d,Reverse,Light
15,1.065693,-21.786556,76.380497,17.733848,0.88,-20.1521,-17.733848000000002,0.004343,6.844676,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-2.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,d,Forward,Light
16,1.057324,-22.384837,74.096958,17.537284,0.88,-19.928731,-17.53728328,0.004673,3.68607,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-2.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,e,Reverse,Light
17,1.062306,-22.38025,70.772136,16.825841,0.86,-19.564931,-16.82584066,0.004561,4.347039,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-2.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,e,Forward,Light
18,1.008655,-21.741281,51.146563,11.216161,0.76,-14.758106,-11.21616056,0.009215,0.140395,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-2.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,f,Reverse,Light
19,0.969471,-21.727825,47.274268,9.958086,0.68,-14.644244,-9.95808592,0.010901,0.133076,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-2.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,f,Forward,Light
20,0.02655,-7.436406,18.600771,0.036725,0.02,-1.83627,-0.036725400000000005,0.003567,0.003567,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-3.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,a,Reverse,Light
