,index,sample,batch,condition,variable,cell,direction,ilum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
0,Voltage (V)_a_Forward_Light,../p-ca8aqwRj68OLnbt8TutA/HZB_IJP_BL_13_1_C-JS340.JV_JS340-F.jv.txt,p-ca8aqwRj68OLnbt8TutA,w,Voltage (V),a,Forward,Light,-0.2,-0.18,-0.16,-0.14,-0.12,-0.1,-0.08,-0.06,-0.04,-0.0200000000000001,-1.1102230246251563e-16,0.0199999999999998,0.0399999999999998,0.0599999999999998,0.0799999999999998,0.0999999999999998,0.1199999999999998,0.1399999999999998,0.1599999999999998,0.1799999999999997,0.1999999999999998,0.2199999999999998,0.2399999999999997,0.2599999999999997,0.2799999999999997,0.2999999999999997,0.3199999999999998,0.3399999999999997,0.3599999999999997,0.3799999999999997,0.3999999999999996,0.4199999999999996,0.4399999999999996,0.4599999999999997,0.4799999999999997,0.4999999999999996,0.5199999999999996,0.5399999999999996,0.5599999999999996,0.5799999999999996,0.5999999999999996,0.6199999999999997,0.6399999999999997,0.6599999999999995,0.6799999999999995,0.6999999999999995,0.7199999999999995,0.7399999999999995,0.7599999999999996,0.7799999999999996,0.7999999999999996,0.8199999999999996,0.8399999999999996,0.8599999999999994,0.8799999999999994,0.8999999999999995,0.9199999999999996,0.9399999999999996,0.9599999999999996,0.9799999999999996,0.9999999999999992,1.0199999999999994,1.0399999999999994,1.0599999999999994,1.0799999999999994,1.0999999999999994,1.1199999999999994,1.1399999999999997,1.1599999999999997,1.1799999999999993,1.1999999999999993
1,Current Density(mA/cm2)_a_Forward_Light,../p-ca8aqwRj68OLnbt8TutA/HZB_IJP_BL_13_1_C-JS340.JV_JS340-F.jv.txt,p-ca8aqwRj68OLnbt8TutA,w,Current Density(mA/cm2),a,Forward,Light,-18.03005625,-17.49404375,-17.165781250000002,-16.867762499999998,-16.585906249999997,-16.30266875,-16.02619375,-15.7723,-15.49271875,-15.25318125,-15.00335625,-14.760137499999995,-14.536025,-14.278512499999998,-14.062012500000002,-13.8192,-13.574725,-13.37593125,-13.14914375,-12.92940625,-12.7230625,-12.47608125,-12.27921875,-12.055281249999998,-11.8328375,-11.6253125,-11.41628125,-11.21308125,-10.9451125,-10.72306875,-10.48795,-10.2763625,-10.0681625,-9.79575625,-9.61069375,-9.36575625,-9.147475,-8.883112500000001,-8.6335625,-8.468437499999999,-8.23656875,-7.952925,-7.727293749999999,-7.44404375,-7.1511000000000005,-6.95584375,-6.646075,-6.182975624999999,-5.95922125,-5.654149374999999,-5.513946874999999,-5.20745,-4.9635825,-4.60003375,-4.213001875,-3.7811925,-3.083090625,-2.26908375,-1.2928425,0.2229564374999999,1.964371875,4.0919525000000005,6.58428125,9.46054375,12.63335625,16.04875,19.71328125,23.7001375,27.7498625,32.021175,36.43094375
2,Voltage (V)_a_Reverse_Light,../p-ca8aqwRj68OLnbt8TutA/HZB_IJP_BL_13_1_C-JS340.JV_JS340-F.jv.txt,p-ca8aqwRj68OLnbt8TutA,w,Voltage (V),a,Reverse,Light,1.2,1.18,1.16,1.14,1.12,1.1,1.0799999999999998,1.0599999999999998,1.0399999999999998,1.0199999999999998,0.9999999999999998,0.9799999999999998,0.9599999999999996,0.9399999999999996,0.9199999999999996,0.8999999999999997,0.8799999999999997,0.8599999999999997,0.8399999999999996,0.8199999999999996,0.7999999999999996,0.7799999999999996,0.7599999999999996,0.7399999999999995,0.7199999999999995,0.6999999999999995,0.6799999999999995,0.6599999999999995,0.6399999999999995,0.6199999999999994,0.5999999999999994,0.5799999999999994,0.5599999999999994,0.5399999999999994,0.5199999999999994,0.4999999999999993,0.4799999999999993,0.4599999999999993,0.4399999999999993,0.4199999999999992,0.3999999999999992,0.3799999999999992,0.3599999999999992,0.3399999999999992,0.3199999999999992,0.2999999999999991,0.2799999999999991,0.2599999999999991,0.2399999999999991,0.219999999999999,0.199999999999999,0.179999999999999,0.159999999999999,0.139999999999999,0.119999999999999,0.0999999999999989,0.0799999999999989,0.0599999999999989,0.0399999999999989,0.0199999999999989,-1.1102230246251563e-15,-0.0200000000000011,-0.0400000000000011,-0.0600000000000011,-0.0800000000000011,-0.1000000000000012,-0.1200000000000012,-0.1400000000000012,-0.1600000000000012,-0.1800000000000012,-0.2000000000000013
3,Current Density(mA/cm2)_a_Reverse_Light,../p-ca8aqwRj68OLnbt8TutA/HZB_IJP_BL_13_1_C-JS340.JV_JS340-F.jv.txt,p-ca8aqwRj68OLnbt8TutA,w,Current Density(mA/cm2),a,Reverse,Light,36.4093875,31.7656875,27.27026875,23.04734375,19.1216,15.37090625,11.8197875,8.53366875,5.63361875,3.017770625,0.735025,-1.0845725,-2.562625625,-3.737063125,-4.664335,-5.287829375,-5.835591249999999,-6.192065625,-6.515968749999999,-6.81433125,-7.0452875,-7.311925000000001,-7.548724999999999,-7.827843749999999,-8.05826875,-8.259912499999999,-8.490525,-8.739781249999998,-8.92119375,-9.14955,-9.32004375,-9.57848125,-9.7418125,-9.92616875,-10.12404375,-10.29668125,-10.4935625,-10.68919375,-10.8731,-11.09895,-11.26444375,-11.468925,-11.6713,-11.82204375,-12.01253125,-12.2005375,-12.38883125,-12.555524999999998,-12.736875,-12.900275,-13.091693750000005,-13.28074375,-13.4614125,-13.63260625,-13.8345125,-14.0099375,-14.2001625,-14.40091875,-14.586956249999998,-14.79771875,-15.000524999999998,-15.21121875,-15.437512499999997,-15.646612500000002,-15.871768749999998,-16.096237499999997,-16.3404125,-16.588462500000002,-16.8309,-17.10578125,-17.350393750000002
4,Voltage (V)_b_Forward_Light,../p-ca8aqwRj68OLnbt8TutA/HZB_IJP_BL_13_1_C-JS340.JV_JS340-F.jv.txt,p-ca8aqwRj68OLnbt8TutA,w,Voltage (V),b,Forward,Light,-0.2,-0.18,-0.16,-0.14,-0.12,-0.1,-0.08,-0.06,-0.04,-0.0200000000000001,-1.1102230246251563e-16,0.0199999999999998,0.0399999999999998,0.0599999999999998,0.0799999999999998,0.0999999999999998,0.1199999999999998,0.1399999999999998,0.1599999999999998,0.1799999999999997,0.1999999999999998,0.2199999999999998,0.2399999999999997,0.2599999999999997,0.2799999999999997,0.2999999999999997,0.3199999999999998,0.3399999999999997,0.3599999999999997,0.3799999999999997,0.3999999999999996,0.4199999999999996,0.4399999999999996,0.4599999999999997,0.4799999999999997,0.4999999999999996,0.5199999999999996,0.5399999999999996,0.5599999999999996,0.5799999999999996,0.5999999999999996,0.6199999999999997,0.6399999999999997,0.6599999999999995,0.6799999999999995,0.6999999999999995,0.7199999999999995,0.7399999999999995,0.7599999999999996,0.7799999999999996,0.7999999999999996,0.8199999999999996,0.8399999999999996,0.8599999999999994,0.8799999999999994,0.8999999999999995,0.9199999999999996,0.9399999999999996,0.9599999999999996,0.9799999999999996,0.9999999999999992,1.0199999999999994,1.0399999999999994,1.0599999999999994,1.0799999999999994,1.0999999999999994,1.1199999999999994,1.1399999999999997,1.1599999999999997,1.1799999999999993,1.1999999999999993
5,Current Density(mA/cm2)_b_Forward_Light,../p-ca8aqwRj68OLnbt8TutA/HZB_IJP_BL_13_1_C-JS340.JV_JS340-F.jv.txt,p-ca8aqwRj68OLnbt8TutA,w,Current Density(mA/cm2),b,Forward,Light,-17.039518750000003,-16.63378125,-16.430025,-16.2935375,-16.18515625,-16.08416875,-16.004056249999998,-15.9103875,-15.843893749999998,-15.7591125,-15.6833,-15.63059375,-15.55398125,-15.49239375,-15.4132875,-15.34164375,-15.292906249999998,-15.224475000000002,-15.17325625,-15.10345625,-15.03369375,-14.98620625,-14.91628125,-14.872750000000002,-14.80649375,-14.730274999999995,-14.675431249999995,-14.60809375,-14.545143749999998,-14.485925,-14.4094,-14.39294375,-14.2937125,-14.232625,-14.173793750000002,-14.066943749999998,-14.00635625,-13.88164375,-13.7988,-13.72268125,-13.621,-13.5695125,-13.4675375,-13.3698125,-13.254768749999998,-13.098025,-12.973837499999998,-12.84983125,-12.6834625,-12.56741875,-12.40806875,-12.270387499999998,-12.07235,-11.85848125,-11.51809375,-10.99293125,-10.19855,-9.305,-7.86880625,-5.98723625,-3.710250625,-0.974565625,2.103468125,5.592055625,9.35374375,13.33295,17.53266875,21.92613125,26.47491875,31.1441125,36.03858125
6,Voltage (V)_b_Reverse_Light,../p-ca8aqwRj68OLnbt8TutA/HZB_IJP_BL_13_1_C-JS340.JV_JS340-F.jv.txt,p-ca8aqwRj68OLnbt8TutA,w,Voltage (V),b,Reverse,Light,1.2,1.18,1.16,1.14,1.12,1.1,1.0799999999999998,1.0599999999999998,1.0399999999999998,1.0199999999999998,0.9999999999999998,0.9799999999999998,0.9599999999999996,0.9399999999999996,0.9199999999999996,0.8999999999999997,0.8799999999999997,0.8599999999999997,0.8399999999999996,0.8199999999999996,0.7999999999999996,0.7799999999999996,0.7599999999999996,0.7399999999999995,0.7199999999999995,0.6999999999999995,0.6799999999999995,0.6599999999999995,0.6399999999999995,0.6199999999999994,0.5999999999999994,0.5799999999999994,0.5599999999999994,0.5399999999999994,0.5199999999999994,0.4999999999999993,0.4799999999999993,0.4599999999999993,0.4399999999999993,0.4199999999999992,0.3999999999999992,0.3799999999999992,0.3599999999999992,0.3399999999999992,0.3199999999999992,0.2999999999999991,0.2799999999999991,0.2599999999999991,0.2399999999999991,0.219999999999999,0.199999999999999,0.179999999999999,0.159999999999999,0.139999999999999,0.119999999999999,0.0999999999999989,0.0799999999999989,0.0599999999999989,0.0399999999999989,0.0199999999999989,-1.1102230246251563e-15,-0.0200000000000011,-0.0400000000000011,-0.0600000000000011,-0.0800000000000011,-0.1000000000000012,-0.1200000000000012,-0.1400000000000012,-0.1600000000000012,-0.1800000000000012,-0.2000000000000013
7,Current Density(mA/cm2)_b_Reverse_Light,../p-ca8aqwRj68OLnbt8TutA/HZB_IJP_BL_13_1_C-JS340.JV_JS340-F.jv.txt,p-ca8aqwRj68OLnbt8TutA,w,Current Density(mA/cm2),b,Reverse,Light,36.00161875,31.114225,26.371693749999995,21.81339375,17.38623125,13.16044375,9.15849375,5.41980625,1.963286875,-1.202565,-3.938636875,-6.350731249999999,-8.283831249999999,-9.84339375,-10.928131249999998,-11.79320625,-12.33755,-12.63725,-12.855606249999996,-13.036262499999998,-13.162931249999998,-13.267756249999998,-13.3695625,-13.4265625,-13.57720625,-13.5865875,-13.67465,-13.77118125,-13.81093125,-13.89808125,-13.942537500000002,-14.04018125,-14.114362500000002,-14.18335,-14.232506249999998,-14.26726875,-14.31654375,-14.37846875,-14.422362499999998,-14.469675,-14.5501,-14.6026875,-14.6568,-14.7086625,-14.752481250000002,-14.803137500000002,-14.8486375,-14.90781875,-14.9512625,-14.99220625,-15.059543749999998,-15.09728125,-15.1492125,-15.2005,-15.26921875,-15.309818750000002,-15.357218749999998,-15.423993749999998,-15.461631249999998,-15.510025,-15.55788125,-15.6161625,-15.68048125,-15.72950625,-15.78513125,-15.84906875,-15.890762500000005,-15.960449999999998,-16.027549999999998,-16.074949999999998,-16.133312500000002
8,Voltage (V)_c_Forward_Light,../p-ca8aqwRj68OLnbt8TutA/HZB_IJP_BL_13_1_C-JS340.JV_JS340-F.jv.txt,p-ca8aqwRj68OLnbt8TutA,w,Voltage (V),c,Forward,Light,-0.2,-0.18,-0.16,-0.14,-0.12,-0.1,-0.08,-0.06,-0.04,-0.0200000000000001,-1.1102230246251563e-16,0.0199999999999998,0.0399999999999998,0.0599999999999998,0.0799999999999998,0.0999999999999998,0.1199999999999998,0.1399999999999998,0.1599999999999998,0.1799999999999997,0.1999999999999998,0.2199999999999998,0.2399999999999997,0.2599999999999997,0.2799999999999997,0.2999999999999997,0.3199999999999998,0.3399999999999997,0.3599999999999997,0.3799999999999997,0.3999999999999996,0.4199999999999996,0.4399999999999996,0.4599999999999997,0.4799999999999997,0.4999999999999996,0.5199999999999996,0.5399999999999996,0.5599999999999996,0.5799999999999996,0.5999999999999996,0.6199999999999997,0.6399999999999997,0.6599999999999995,0.6799999999999995,0.6999999999999995,0.7199999999999995,0.7399999999999995,0.7599999999999996,0.7799999999999996,0.7999999999999996,0.8199999999999996,0.8399999999999996,0.8599999999999994,0.8799999999999994,0.8999999999999995,0.9199999999999996,0.9399999999999996,0.9599999999999996,0.9799999999999996,0.9999999999999992,1.0199999999999994,1.0399999999999994,1.0599999999999994,1.0799999999999994,1.0999999999999994,1.1199999999999994,1.1399999999999997,1.1599999999999997,1.1799999999999993,1.1999999999999993
9,Current Density(mA/cm2)_c_Forward_Light,../p-ca8aqwRj68OLnbt8TutA/HZB_IJP_BL_13_1_C-JS340.JV_JS340-F.jv.txt,p-ca8aqwRj68OLnbt8TutA,w,Current Density(mA/cm2),c,Forward,Light,-16.9967875,-16.47250625,-16.208062499999997,-16.01335,-15.8679875,-15.725625,-15.604143750000002,-15.495406249999998,-15.38865625,-15.2806,-15.201087499999998,-15.11760625,-15.01670625,-14.928325,-14.85516875,-14.778,-14.69528125,-14.6116375,-14.54626875,-14.4720875,-14.3896375,-14.31481875,-14.25545625,-14.18095625,-14.0836875,-14.02981875,-13.943343749999997,-13.8547875,-13.78468125,-13.672681249999998,-13.59865,-13.48383125,-13.3974125,-13.330293750000004,-13.24445625,-13.1654625,-13.06140625,-12.95960625,-12.87785625,-12.769025,-12.626218749999998,-12.51663125,-12.40331875,-12.23785,-12.09501875,-11.92258125,-11.71681875,-11.55129375,-11.47706875,-11.30626875,-11.047625,-10.85323125,-10.65043125,-10.42849375,-10.10905,-9.832518749999998,-9.39663125,-8.70324375,-7.746993749999999,-6.424575,-4.72292,-2.51057875,-0.0181718875,2.9540049999999995,6.262274999999999,9.85160625,13.716131250000002,17.7896875,22.090837500000003,26.52826875,31.1787625
