,Voc(V),Jsc(mA/cm2),FF(%),PCE(%),V_mpp(V),J_mpp(mA/cm2),P_mpp(mW/cm2),R_series(Ohmcm2),R_shunt(Ohmcm2),sample,batch,condition,cell,direction,ilum
0,0.97608881,-15.30990625,56.25595392,11.30097207,0.74,-11.36053125,-8.406793125,8.39633955,238.32082373,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS324.JV_JS324-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,a,Forward,Light
1,0.98716089,-15.5149,52.25914412,10.75931577,0.68,-11.770375,-8.003855,7.2081618,451.69946618,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS324.JV_JS324-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,a,Reverse,Light
2,0.39502209,-13.25806875,25.02327097,1.7616968,0.2,-6.55263125,-1.3105262500000001,29.39433073,27.97956792,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS324.JV_JS324-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,b,Forward,Light
3,0.66444025,-14.5060125,30.11289558,3.90159279,0.38,-7.63788125,-2.902394875,27.11368089,49.58367191,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS324.JV_JS324-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,b,Reverse,Light
4,0.8560214,-14.81058125,49.89283734,8.50316037,0.56,-11.2955375,-6.325501000000001,21.11609656,132.53373803,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS324.JV_JS324-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,c,Forward,Light
5,0.87201328,-14.905125,47.27823697,8.26048293,0.52,-11.81725625,-6.1449732500000005,34.29515525,618.78327087,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS324.JV_JS324-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,c,Reverse,Light
6,0.78007786,-13.5837625,49.35743972,7.03066003,0.52,-10.0579,-5.230108,19.84144473,105.30089818,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS324.JV_JS324-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,d,Forward,Light
7,0.77417022,-14.1898125,50.00782716,7.38476274,0.5,-10.98705,-5.493525,20.83620916,291.42227697,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS324.JV_JS324-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,d,Reverse,Light
8,0.93690197,-14.95878125,54.93879831999999,10.35034817,0.64,-12.0306625,-7.699624,16.66581168,166.65428637,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS324.JV_JS324-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,e,Forward,Light
9,0.93198361,-14.972525,50.16433476000001,9.40987431,0.58,-12.068975,-7.000005499999999,24.1047496,576.05581245,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS324.JV_JS324-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,e,Reverse,Light
