,,biexponential,biexponential,biexponential,biexponential,biexponential,biexponential,biexponential,biexponential
,,$A_1$,$	au_1$,$A_2$,$	au_2$,$R^2$,tS,Ts80,LE
hzb_EdNa_AA_1_c-1,0,18.74+/-0.21,602+/-20,2.59+/-0.25,28+/-6,0.7627162231223173,128.08009879851346,134.24206157894372,2326.807935849599
hzb_EdNa_AA_1_c-1,1,17.6+/-1.1,(8.3+/-1.4)e+02,3.3+/-1.0,75+/-27,0.7411088589181019,302.40841083333333,184.27314484492192,3128.003876775638
hzb_EdNa_AA_1_c-1,2,8+/-7,(0.0+/-2.3)e+12,10+/-7,(1.9+/-1.0)e+02,0.7402644308599438,302.40841083333333,302.40841083333333,3992.269640824278
hzb_EdNa_AA_1_c-1,3,15.2+/-0.5,(8.9+/-0.9)e+02,4.3+/-0.4,52+/-8,0.7435213716973073,238.85363619732345,197.61259324118535,2915.2146744998604
hzb_EdNa_AA_1_c-1,4,18.63+/-0.25,713+/-31,2.50+/-0.25,35+/-8,0.7526470964098143,161.1976176373357,159.07610701741547,2742.950121203334
hzb_EdNa_AA_1_c-1,5,14.1+/-0.9,(9.9+/-2.1)e+02,5.6+/-0.9,77+/-14,0.8156472526034559,302.40841083333333,220.15195507784856,3181.545231634541
hzb_EdNa_AA_1_c-1,6,17.70+/-0.28,612+/-26,2.68+/-0.27,36+/-8,0.7868446351879275,168.0029563410465,136.4937253847104,2261.0626665909167
hzb_EdNa_AA_1_c-6,0,16.3+/-0.4,(2.5+/-0.6)e+03,4.89+/-0.34,50+/-7,0.5762345052321378,230.89793060534143,302.40841083333333,4879.759485121809
hzb_EdNa_AA_1_c-6,1,12.8+/-0.7,(1.7+/-0.5)e+03,6.5+/-0.6,72+/-10,0.7839629826220708,302.40841083333333,302.40841083333333,3993.080604545633
hzb_EdNa_AA_1_c-6,2,17.23+/-0.21,(1.22+/-0.08)e+03,4.07+/-0.25,30+/-4,0.5893810978727246,138.25371059234317,272.2369949442677,4326.758880971204
hzb_EdNa_AA_1_c-6,3,13.98+/-0.29,(3.4+/-1.0)e+03,5.58+/-0.26,49+/-5,0.6704854464300729,227.67131127228006,302.40841083333333,4319.000042684276
hzb_EdNa_AA_1_c-6,4,14.61+/-0.24,(1.58+/-0.17)e+03,4.24+/-0.23,41+/-5,0.6573373143194161,190.2406426664335,302.40841083333333,4196.201218946281
hzb_EdNa_AA_1_c-6,5,12.9+/-0.5,(2.6+/-0.9)e+03,6.4+/-0.4,60+/-7,0.7104624494808351,277.50326333629846,302.40841083333333,4080.2823815270713
